Product                ;emoji ;Soort    ;Januari ;Februari ;Maart ;April ;Mei ;Juni ;Juli ;Augustus ;September ;Oktober ;November ;December ;Lokaal ;Follicular ;Ovulatory ;Luteal ;Menstrual ;FODMAP ;FODMAP-light ;Dirty-Fifteen
Sopropo                ;🥗    ;Groente  ;        ;         ;      ;      ;    ;     ;   1 ;       1 ;        1 ;      1 ;         ;         ;     0 ;           ;          ;       ;          ;     0 ;             ;
Sperziebonen           ;🥗    ;Groente  ;        ;         ;      ;      ;    ;   1 ;   1 ;       1 ;        1 ;      1 ;         ;         ;     1 ;           ;          ;     1 ;        1 ;     1 ;             ;
Spinazie               ;🥬    ;Groente  ;        ;         ;    1 ;    1 ;  1 ;     ;     ;         ;        1 ;      1 ;       1 ;         ;     1 ;         1 ;        1 ;       ;        1 ;     1 ;             ;
Spitskool              ;🥬    ;Groente  ;      1 ;       1 ;    1 ;      ;    ;     ;     ;         ;        1 ;      1 ;       1 ;       1 ;     1 ;           ;          ;     1 ;        1 ;       ;             ;
Spliterwten (gedroogd) ;🥗    ;Groente  ;      1 ;       1 ;    1 ;    1 ;  1 ;   1 ;   1 ;       1 ;        1 ;      1 ;       1 ;       1 ;     1 ;           ;        1 ;     1 ;        1 ;     0 ;             ;
Spruitjes              ;🥦    ;Groente  ;      1 ;       1 ;    1 ;      ;    ;     ;     ;         ;          ;      1 ;       1 ;       1 ;     1 ;           ;          ;     1 ;        1 ;     1 ;             ;
Stoofperen             ;🍐    ;Groente  ;      1 ;         ;      ;      ;    ;     ;     ;         ;        1 ;      1 ;       1 ;       1 ;     1 ;           ;          ;       ;          ;     0 ;             ;
Sugar snaps            ;🥗    ;Groente  ;        ;         ;      ;      ;  1 ;   1 ;   1 ;         ;          ;        ;         ;         ;     1 ;           ;          ;       ;          ;     0 ;             ;
Tauge                  ;🥗    ;Groente  ;      1 ;       1 ;    1 ;    1 ;  1 ;   1 ;   1 ;       1 ;        1 ;      1 ;       1 ;       1 ;     1 ;           ;          ;       ;          ;     2 ;             ;
Tomaat                 ;🍅    ;Groente  ;        ;         ;      ;      ;    ;   1 ;   1 ;       1 ;        1 ;      1 ;         ;         ;     1 ;           ;        1 ;       ;          ;     1 ;             ;
Tuinbonen              ;🥗    ;Groente  ;        ;         ;      ;      ;    ;   1 ;   1 ;         ;          ;        ;         ;         ;     1 ;           ;          ;     1 ;        1 ;     0 ;             ;
Ui                     ;🧅    ;Groente  ;      1 ;       1 ;    1 ;    1 ;  1 ;     ;     ;         ;        1 ;      1 ;       1 ;         ;     1 ;           ;          ;       ;          ;     0 ;             ;
Rode ui                ;🧅    ;         ;        ;         ;      ;      ;    ;     ;   1 ;       1 ;        1 ;        ;         ;         ;     1 ;           ;          ;       ;          ;     0 ;             ;
Venkel                 ;🥦    ;Groente  ;        ;         ;      ;      ;    ;   1 ;   1 ;       1 ;        1 ;      1 ;         ;         ;     1 ;           ;          ;       ;          ;     1 ;             ;
Witlof                 ;🥬    ;Groente  ;      1 ;       1 ;    1 ;      ;    ;     ;     ;         ;          ;      1 ;       1 ;       1 ;     1 ;           ;          ;       ;          ;     2 ;             ;
Witte bonen            ;🥗    ;Groente  ;        ;         ;      ;      ;    ;     ;     ;       1 ;        1 ;      1 ;         ;         ;     0 ;           ;          ;     1 ;        1 ;     0 ;             ;
